endorsement For,Object Property
gives Right,Object Property
has Endorsement,Object Property
has Seagoing Service Requirement,Object Property
in Position,Object Property
in Trade Area,Object Property
issued By,Object Property
on Ship Type,Object Property
refered To In,Object Property
refers To,Object Property
renewal Requirements For,Object Property
requirement For,Object Property
requires,Object Property
requires Attachement,Object Property
requires Certificate,Object Property
requires Competancy,Object Property
requires Course,Object Property
requires Education,Object Property
servedinposition,Object Property
uses Fuel,Object Property
age,Datatype Property
days Since Completion,Datatype Property
duration,Datatype Property
engine Power,Datatype Property
gross Tonnage,Datatype Property
promulgated,Datatype Property
radio Coverage Area,Datatype Property
trade Area Rank_fishing,Datatype Property
trade Area Rank_general,Datatype Property
valid From,Datatype Property
valid To,Datatype Property
vessel Length Overall,Datatype Property
voltage,Datatype Property
AB,Class
AB,Competancy
Able Seafarer Apprentice_deck,Class
Able Seafarer Apprentice_deck,Deck Crew Position
Able Seafarer Apprentice_engine,Class
Able Seafarer Apprentice_engine,Engine Crew Position
Able Seafarer_deck,Class
Able Seafarer_deck,Deck Crew Position
Able Seafarer_engine,Class
Able Seafarer_engine,Engine Crew Position
Advanced Safety Course,Class
Advanced Safety Course,Safety Course
Advanced Safety Course,BLANK NODE
Annex,Class
Annex,Legal Document
Barge,Class
Barge,Cargo Vessel
Basic Safety Course,Class
Basic Safety Course,Safety Course
Bulk Carrier,Class
Bulk Carrier,Cargo Vessel
Cadet deck,Class
Cadet deck,Deck Crew Position
Cadet engine,Class
Cadet engine,Engine Crew Position
Cargo High Speed Craft,Class
Cargo High Speed Craft,Cargo Vessel
Cargo Vessel,Class
Cargo Vessel,Ship
Certificate,Class
Chemical Tanker,Class
Chemical Tanker,Tanker
Chief Engineer,Class
Chief Engineer,Engine Officer Position
Chief Officer,Class
Chief Officer,Deck Officer Position
Competancy,Class
Competence Certificate,Class
Competence Certificate,Person Certificate
Course,Class
Crowd And Crisis,Class
Crowd And Crisis,Course
Deck Crew Position,Class
Deck Crew Position,Position
Deck Education,Class
Deck Education,Education
Deck Officer Certificate,Class
Deck Officer Certificate,Competence Certificate
Deck Officer Certificate Limited Trade Area,Class
Deck Officer Certificate Limited Trade Area,Competence Certificate
Deck Officer Position,Class
Deck Officer Position,Position
EXP,Class
EXP,Competancy
Education,Class
Education,BLANK NODE
Educational Establishment,Class
Electrical Course,Class
Electrical Course,Course
Electrical Crew Position,Class
Electrical Crew Position,Position
Electrical Education,Class
Electrical Education,Education
Electrical Officer Certificate,Class
Electrical Officer Certificate,Competence Certificate
Electro Technical Officer,Class
Electro Technical Officer,Position
Electro Technical Rating,Class
Electro Technical Rating,Electrical Crew Position
Endorsement Certificate,Class
Endorsement Certificate,Certificate
Endorsement Certificate,BLANK NODE
Engine Course,Class
Engine Course,Course
Engine Crew Position,Class
Engine Crew Position,Position
Engine Education,Class
Engine Education,Education
Engine Officer Certificate,Class
Engine Officer Certificate,Competence Certificate
Engine Officer Position,Class
Engine Officer Position,Position
Engineer,Class
Engineer,Engine Officer Position
Evidence Of Formal Qualifications,Class
Evidence Of Formal Qualifications,Person Certificate
FOR-2011-12-22-1523,Class
FOR-2011-12-22-1523,Regulation
FOR-2011-12-22-1523,BLANK NODE
FOR-2011-12-22-1523,BLANK NODE
FOR-2011-12-22-1523,BLANK NODE
FOR-2011-12-22-1523-Annex,Class
FOR-2011-12-22-1523-Annex,Annex
Fast Rescue Boat Course,Class
Fast Rescue Boat Course,Course
Fast Rescue Boat Course,BLANK NODE
Fisherman,Class
Fisherman,Deck Crew Position
