"['Section 7', 'before', '2 January 1988', 'January']"
"['Section 8', 'before', '1 January 1992', 'January']"
"['Section 22', 'before', '1 January 1992', 'January']"
"['Section 23', 'before', '1 January 1992', 'January']"
"['Section 24', 'before', '1 January 1992', 'January']"
"['Section 7', 'after', '2 January 1988', 'January']"
"['Section 8', 'after', '1 January 1992', 'January']"
"['Section 15', 'after', '1 January 1992', 'January']"
"['Section 22', 'after', '1 January 1992', 'January']"
"['Section 23', 'after', '1 January 1992', 'January']"
"['Section 23', 'after', '1 January 2002', 'January']"
"['Section 24', 'after', '1 January 1992', 'January']"
