 "class" , "classLabel" , "subClassOf" , "subClassOfLabel" ,
 "https://www.sdir.no/SDIR_Simulator#ParachuteFlare" , "Parachute flare" , "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" ,
 "https://www.sdir.no/SDIR_Simulator#CargoSpaces" , "Cargo spaces" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Radio" , "Radio" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Subregion" , "Subregion" , "https://www.sdir.no/SDIR_Simulator#GeographicalLocation" , "Geographical location" ,
 "https://www.sdir.no/SDIR_Simulator#Liferaft" , "Liferaft" , "https://www.sdir.no/SDIR_Simulator#SurvivalCraft" , "Survival craft" ,
 "https://www.sdir.no/SDIR_Simulator#GreaterFjordFishing" , "Greater than fjord fishing" , "https://www.sdir.no/SDIR_Simulator#TradeArea" , "Trade area" ,
 "https://www.sdir.no/SDIR_Simulator#DeclarationOfSurveys" , "Declaration of surveys" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#FireExtinguisher" , "Fire extinguisher" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#FireExtinguisher" , "Fire extinguisher" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Ventilator" , "Ventilator" , "https://www.sdir.no/SDIR_Simulator#Ventilation" , "Ventilation" ,
 "https://www.sdir.no/SDIR_Simulator#Country" , "Country" , "https://www.sdir.no/SDIR_Simulator#GeographicalLocation" , "Geographical location" ,
 "https://www.sdir.no/SDIR_Simulator#Sweden" , "Sweden" , "https://www.sdir.no/SDIR_Simulator#Country" , "Country" ,
 "https://www.sdir.no/SDIR_Simulator#DrainPipe" , "Drain pipe" , "https://www.sdir.no/SDIR_Simulator#Pipe" , "Pipe" ,
 "https://www.sdir.no/SDIR_Simulator#SafetyMessages" , "Safety messages" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#MusterList" , "Muster list" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#NorwegianEconomicZone" , "Norwegian economic zone" , "https://www.sdir.no/SDIR_Simulator#GeographicalLocation" , "Geographical location" ,
 "https://www.sdir.no/SDIR_Simulator#SmokeAlarm" , "Smoke alarm" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#SmokeAlarm" , "Smoke alarm" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" , "https://www.sdir.no/SDIR_Simulator#SafetyEquipment" , "Safety equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#FireInsulation" , "Fire insulation" , "https://www.sdir.no/SDIR_Simulator#Insulation" , "Insulation" ,
